name,type,start_time,duration,"identifier","num_data_bytes","extended","data","crc","ack"
"CAN","data_field",2023-08-25T05:27:11.773805380+00:00,3.2e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:27:11.773841380+00:00,3.2e-05,,,,0xFF,,
"CAN","data_field",2023-08-25T05:27:11.773877380+00:00,3.6e-05,,,,0xFF,,
"CAN","data_field",2023-08-25T05:27:11.773917380+00:00,3.2e-05,,,,0xFF,,
"CAN","crc_field",2023-08-25T05:27:11.773953380+00:00,6e-05,,,,,0x0000000000002FC2,
"CAN","ack_field",2023-08-25T05:27:11.774021380+00:00,4e-06,,,,,,true
"CAN","identifier_field",2023-08-25T05:27:11.775509476+00:00,0.00014,0x0000000008FE6E0B,,true,,,
"CAN","control_field",2023-08-25T05:27:11.775653476+00:00,1.2e-05,,0x0000000000000008,,,,
"CAN","data_field",2023-08-25T05:27:11.775669476+00:00,3.6e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:27:11.775709476+00:00,3.2e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:27:11.775745476+00:00,3.6e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:27:11.775785476+00:00,3.2e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:27:11.775825476+00:00,3.2e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:27:11.775861476+00:00,3.6e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:27:11.775901476+00:00,3.2e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:27:11.775937476+00:00,3.6e-05,,,,0x00,,
"CAN","crc_field",2023-08-25T05:27:11.775977476+00:00,5.6e-05,,,,,0x0000000000001522,
"CAN","ack_field",2023-08-25T05:27:11.776041476+00:00,4e-06,,,,,,true
"CAN","identifier_field",2023-08-25T05:27:11.782673580+00:00,0.000144,0x0000000018FEEF00,,true,,,
"CAN","control_field",2023-08-25T05:27:11.782821580+00:00,1.2e-05,,0x0000000000000008,,,,
"CAN","data_field",2023-08-25T05:27:11.782837580+00:00,3.2e-05,,,,0xFF,,
"CAN","data_field",2023-08-25T05:27:11.782873580+00:00,3.6e-05,,,,0xFF,,
"CAN","data_field",2023-08-25T05:27:11.782913580+00:00,3.2e-05,,,,0xFF,,
"CAN","data_field",2023-08-25T05:27:11.782949580+00:00,3.6e-05,,,,0xFE,,
