name,type,start_time,duration,"identifier","extended","num_data_bytes","data","crc","ack"
"CAN","crc_field",0.017730375,5.6e-05,,,,,0x0000000000003473,
"CAN","ack_field",0.017794375,4e-06,,,,,,true
"CAN","identifier_field",0.01875075,0.00014,0x000000000CF00203,true,,,,
"CAN","control_field",0.01889475,1.2e-05,,,0x0000000000000008,,,
"CAN","data_field",0.01891075,3.2e-05,,,,0xC0,,
"CAN","data_field",0.01894675,3.2e-05,,,,0x00,,
"CAN","data_field",0.01898275,3.6e-05,,,,0x00,,
"CAN","data_field",0.01902275,3.2e-05,,,,0xFF,,
"CAN","data_field",0.01905875,3.2e-05,,,,0xF7,,
"CAN","data_field",0.01909475,3.2e-05,,,,0xEC,,
"CAN","data_field",0.01913075,3.2e-05,,,,0x17,,
"CAN","data_field",0.01916675,3.2e-05,,,,0x03,,
"CAN","crc_field",0.01920275,5.6e-05,,,,,0x0000000000005E52,
"CAN","ack_field",0.01926675,4e-06,,,,,,true
"CAN","identifier_field",0.019318875,0.000144,0x000000000CF00400,true,,,,
"CAN","control_field",0.019466875,1.2e-05,,,0x0000000000000008,,,
"CAN","data_field",0.019482875,3.2e-05,,,,0x40,,
"CAN","data_field",0.019518875,3.2e-05,,,,0x7D,,
"CAN","data_field",0.019554875,2.8e-05,,,,0x8B,,
"CAN","data_field",0.019586875,3.2e-05,,,,0xFB,,
"CAN","data_field",0.019622875,2.8e-05,,,,0x18,,
"CAN","data_field",0.019654875,3.6e-05,,,,0x00,,
"CAN","data_field",0.019694875,3.2e-05,,,,0x0F,,
"CAN","data_field",0.019734875,2.8e-05,,,,0x8B,,
"CAN","crc_field",0.019766875,5.6e-05,,,,,0x00000000000012CF,
"CAN","ack_field",0.019830875,4e-06,,,,,,true
"CAN","identifier_field",0.0198831875,0.000136,0x0000000018F00131,true,,,,
"CAN","control_field",0.0200231875,1.2e-05,,,0x0000000000000008,,,
"CAN","data_field",0.0200391875,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0200751875,3.6e-05,,,,0xFF,,
"CAN","data_field",0.0201151875,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0201511875,3.2e-05,,,,0x3F,,
"CAN","data_field",0.0201871875,3.2e-05,,,,0xFA,,
"CAN","data_field",0.0202231875,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0202591875,3.6e-05,,,,0xFF,,
"CAN","data_field",0.0202991875,3.2e-05,,,,0xFF,,
"CAN","crc_field",0.0203351875,5.6e-05,,,,,0x0000000000000B0F,
"CAN","ack_field",0.0203991875,4e-06,,,,,,true
