name,type,start_time,duration,"identifier","extended","num_data_bytes","data","crc","ack"
"CAN","crc_field",0.009275875,5.6e-05,,,,,0x0000000000002496,
"CAN","ack_field",0.009339875,4e-06,,,,,,true
"CAN","identifier_field",0.009392125,0.00014,0x000000000CF00203,true,,,,
"CAN","control_field",0.009536125,1.2e-05,,,0x0000000000000008,,,
"CAN","data_field",0.009552125,3.2e-05,,,,0xC0,,
"CAN","data_field",0.009588125,3.2e-05,,,,0x00,,
"CAN","data_field",0.009624125,3.6e-05,,,,0x00,,
"CAN","data_field",0.009664125,3.2e-05,,,,0xFF,,
"CAN","data_field",0.009700125,3.2e-05,,,,0xF7,,
"CAN","data_field",0.009736125,2.8e-05,,,,0x50,,
"CAN","data_field",0.009768125,3.2e-05,,,,0x18,,
"CAN","data_field",0.009804125,3.2e-05,,,,0x03,,
"CAN","crc_field",0.009840125,6e-05,,,,,0x00000000000007D2,
"CAN","ack_field",0.009908125,4e-06,,,,,,true
"CAN","identifier_field",0.009960125,0.000136,0x000000000CF00331,true,,,,
"CAN","control_field",0.010100125,1.2e-05,,,0x0000000000000008,,,
"CAN","data_field",0.010116125,3.2e-05,,,,0xFF,,
"CAN","data_field",0.010152125,3.6e-05,,,,0xFF,,
"CAN","data_field",0.010192125,3.2e-05,,,,0xFF,,
"CAN","data_field",0.010228125,3.6e-05,,,,0xFF,,
"CAN","data_field",0.010268125,3.2e-05,,,,0xFF,,
"CAN","data_field",0.010308125,3.2e-05,,,,0xFF,,
"CAN","data_field",0.010344125,3.6e-05,,,,0xFF,,
"CAN","data_field",0.010384125,3.2e-05,,,,0xFF,,
"CAN","crc_field",0.010420125,5.6e-05,,,,,0x00000000000022DE,
"CAN","ack_field",0.010484125,4e-06,,,,,,true
"CAN","identifier_field",0.0105364375,0.00014,0x000000000CF00C03,true,,,,
"CAN","control_field",0.0106804375,1.2e-05,,,0x0000000000000008,,,
"CAN","data_field",0.0106964375,2.8e-05,,,,0xED,,
"CAN","data_field",0.0107284375,3.2e-05,,,,0x03,,
"CAN","data_field",0.0107644375,2.8e-05,,,,0xB0,,
"CAN","data_field",0.0107964375,3.2e-05,,,,0x18,,
"CAN","data_field",0.0108324375,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0108684375,3.6e-05,,,,0xFF,,
"CAN","data_field",0.0109084375,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0109444375,3.6e-05,,,,0xFF,,
"CAN","crc_field",0.0109844375,6.4e-05,,,,,0x000000000000700E,
"CAN","ack_field",0.0110564375,4e-06,,,,,,true
"CAN","identifier_field",0.0119046875,0.000148,0x0000000018FEDF00,true,,,,
"CAN","control_field",0.0120566875,1.2e-05,,,0x0000000000000008,,,
"CAN","data_field",0.0120726875,2.8e-05,,,,0x84,,
"CAN","data_field",0.0121046875,2.8e-05,,,,0xA0,,
"CAN","data_field",0.0121406875,2.8e-05,,,,0x28,,
"CAN","data_field",0.0121726875,3.2e-05,,,,0x7D,,
"CAN","data_field",0.0122086875,3.2e-05,,,,0x7D,,
"CAN","data_field",0.0122446875,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0122806875,3.6e-05,,,,0xFF,,
"CAN","data_field",0.0123206875,3.2e-05,,,,0xF0,,
"CAN","crc_field",0.0123566875,5.6e-05,,,,,0x0000000000004B5B,
"CAN","ack_field",0.0124206875,4e-06,,,,,,true
"CAN","identifier_field",0.0124770625,0.000144,0x0000000018F00F00,true,,,,
"CAN","control_field",0.0126250625,1.2e-05,,,0x0000000000000008,,,
"CAN","data_field",0.0126410625,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0126770625,3.6e-05,,,,0xFF,,
"CAN","data_field",0.0127170625,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0127530625,3.6e-05,,,,0xFF,,
"CAN","data_field",0.0127930625,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0128330625,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0128690625,3.6e-05,,,,0xFF,,
"CAN","data_field",0.0129090625,3.2e-05,,,,0xFF,,
"CAN","crc_field",0.0129450625,6e-05,,,,,0x0000000000007AF3,
"CAN","ack_field",0.0130130625,4e-06,,,,,,true
"CAN","identifier_field",0.0163419375,0.000144,0x000000000CF00300,true,,,,
"CAN","control_field",0.0164899375,1.2e-05,,,0x0000000000000008,,,
"CAN","data_field",0.0165059375,2.8e-05,,,,0xD1,,
"CAN","data_field",0.0165379375,3.2e-05,,,,0x00,,
"CAN","data_field",0.0165739375,3.2e-05,,,,0x18,,
"CAN","data_field",0.0166099375,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0166459375,3.6e-05,,,,0xFF,,
"CAN","data_field",0.0166859375,2.8e-05,,,,0x0F,,
"CAN","data_field",0.0167179375,3.2e-05,,,,0x8B,,
"CAN","data_field",0.0167539375,3.2e-05,,,,0x7E,,
"CAN","crc_field",0.0167899375,5.6e-05,,,,,0x0000000000000976,
"CAN","ack_field",0.0168539375,4e-06,,,,,,true
"CAN","identifier_field",0.01691025,0.000144,0x0000000018FEF100,true,,,,
"CAN","control_field",0.01705825,1.2e-05,,,0x0000000000000008,,,
"CAN","data_field",0.01707425,3.2e-05,,,,0xFF,,
"CAN","data_field",0.01711025,3.2e-05,,,,0x00,,
"CAN","data_field",0.01714625,3.6e-05,,,,0x00,,
"CAN","data_field",0.01718625,3.2e-05,,,,0xFC,,
"CAN","data_field",0.01722225,3.2e-05,,,,0xFF,,
"CAN","data_field",0.01725825,2.8e-05,,,,0x3D,,
"CAN","data_field",0.01729025,3.2e-05,,,,0x00,,
"CAN","data_field",0.01732625,2.8e-05,,,,0xCF,,
